Remove the first two lines,,
origin,destination,price
PVG,KLO,9493.27
RXS,MNL,456.24
SIN,MNL,3197.29
SUG,MNL,9366.7
TAC,CEB,6564.61
TAC,MNL,5389.15
TAG,MNL,7010.04
TUG,MNL,1523.68
TWT,ZAM,8345.76
USU,CEB,4165.58
USU,MNL,7848.3
USU,PPS,8155.36
WNP,MNL,1235.67
ZAM,CEB,5841.44
ZAM,DVO,5994.58
ZAM,JOL,8785.37
ZAM,MNL,6068.23
ZAM,TWT,8470.67
HEL,POR,4346.53
POR,HEL,8633.36
BRL,ORD,2778.56
BRL,STL,3318.21
DEC,ORD,8493.87
DEC,STL,5379.41
JBR,STL,1490.5
ORD,BRL,4190.74
ORD,DEC,3675.66
STL,BRL,1189.58
STL,DEC,6736.56
STL,JBR,4412.95
CGA,HYL,2314.22
HYL,CGA,8247.31
HYL,KTN,996.54
KTB,KTN,1249.43
KTN,HYL,3397.54
KTN,KTB,8231.44
KTN,MTM,8947.72
MTM,KTN,2448.87
ACC,ROB,4973.59
BCN,BJL,7772.74
BJL,BCN,1503.92
BJL,DKR,1103.28
BJL,FNA,3744.06
DKR,BJL,7278.03
DKR,FNA,8505.41
FNA,BJL,3273.35
FNA,DKR,2504.29
FNA,LGW,5979.71
FNA,ROB,3286.21
LGW,FNA,4444.78
ROB,ACC,8964.77
ROB,FNA,548.75
AKV,YIK,1450.56
AKV,YPX,8183.19
XGR,YVP,7714.98
YGL,YGW,996.39
YGL,YPX,7876.88
YGL,YUL,7921.2
YGW,YGL,2315.15
YGW,YPH,4970.92
YGW,YSK,3635.27
YGW,YUD,9650.01
YGW,YUL,5496.39
YGW,YUY,3905.08
YIK,AKV,3091.23
YIK,YZG,7741.25
YKG,YPJ,4960.84
YKG,YQC,8677.78
YKG,YVP,1045.6
YKL,YQB,8220.3
YKL,YVP,401.73
YKL,YWK,5427.66
YKL,YZV,6036.55
YPH,YPX,6229.75
YPH,YUD,8240.11
YPH,YVP,6369.94
YPJ,YKG,2793.68
YPJ,YTQ,6182.45
YPJ,YVP,990.89
YPX,AKV,8649.88
YPX,YGL,5508.16
YPX,YPH,5582.31
YPX,YVP,7156.17
YQB,YKL,1935.03
YQB,YUL,7530.07
YQC,YKG,5343.33
YQC,YWB,5457.6
YSK,YGW,1815.98
YSK,YUD,2003.27
YTQ,YPJ,4633.78
YTQ,YVP,1766.2
YUD,YGW,774.42
YUD,YPH,7276.74
YUD,YSK,7152.71
YUL,YGL,2663.85
YUL,YGW,4229.31
YUL,YQB,7175.66
YUL,YUY,4229.58
YUY,YGW,5258.8
YUY,YUL,4719.39
YVP,XGR,2977.61
YVP,YGW,8271
YVP,YKG,8103.51
YVP,YKL,248.43
YVP,YPH,7920.09
YVP,YPJ,5279.87
YVP,YPX,223.9
YVP,YTQ,8162.56
YWB,YQC,1852.27
YWB,YZG,524.04
YWK,YKL,6322.86
YWK,YZV,384.82
YZG,YIK,6994.48
YZG,YWB,2428.92
YZV,YKL,558.55
YZV,YWK,3529.51
BBO,JIB,7952.48
BBO,MGQ,8736.56
DXB,BBO,5207.56
JED,BBO,4192.68
JIB,DXB,4367.02
JIB,JED,6062.17
JIB,MGQ,6846.98
MGQ,BBO,7778.93
MGQ,JIB,9674.22
MGQ,NBO,6983.41
NBO,MGQ,9800.7
BKK,SIN,3082.37
CAN,SIN,3962.71
HAK,SIN,907.24
HGH,SIN,2994.84
HKG,SIN,3211.58
HKT,SIN,7188.47
KIX,MNL,5476.82
KIX,TPE,3331.8
KUL,SIN,7921.46
MNL,KIX,3535.22
MNL,SIN,8590.94
PEN,SIN,8950.11
PER,SIN,1737.96
PNH,SIN,3743.09
REP,SIN,2210.24
RGN,SIN,5265.44
SGN,SIN,4491.21
SIN,BKK,1948.39
SIN,CAN,427.71
SIN,HAK,9170.18
SIN,HGH,3367.88
SIN,HKG,5230.05
SIN,HKT,5240.47
SIN,KUL,3807.05
SIN,MNL,271.78
SIN,PEN,619.69
SIN,PER,784.43
SIN,PNH,5307.46
SIN,REP,2044.86
SIN,RGN,3824.62
SIN,SGN,2197.49
SIN,SWA,8169.57
SIN,TPE,9862.23
SWA,SIN,5230.64
TPE,KIX,9886.35
TPE,SIN,7911.17
DUS,FDH,1381.49
FDH,DUS,3837.36
FDH,HAM,1668.89
FDH,TXL,4378.22
FKB,HAM,855.35
GRZ,ZRH,772.41
HAM,FDH,4692.83
HAM,FKB,9917.36
SZG,ZRH,9610.01
TXL,FDH,902.33
ZRH,GRZ,4805.32
ZRH,SZG,2657.41
BIM,FLL,8551.82
ELH,FLL,1024.84
EYW,FLL,9800.32
EYW,RSW,4560.51
EYW,TPA,7909.48
FLL,BIM,2037.69
FLL,ELH,8602.62
FLL,EYW,9921.15
FLL,FPO,7675.33
FLL,GGT,5593.64
FLL,GHB,965.46
FLL,MCO,1521.35
FLL,MHH,4634.96
FLL,TCB,1752.13
FLL,TPA,5969.47
FPO,FLL,5463.03
GGT,FLL,9070.83
GHB,FLL,7960.34
GLH,TUP,1185.1
GNV,MCO,1073.63
GNV,TPA,2956.64
JAX,TPA,6062.66
MCN,MCO,7249.21
MCO,FLL,7832.39
MCO,GNV,8466.38
MCO,MCN,5847.19
MCO,MHH,2510.55
MCO,PNS,8246.29
MCO,RSW,1644.87
MHH,FLL,4870.62
MHH,MCO,1268.08
MHH,PBI,6407.11
PBI,MHH,3887.04
PBI,TPA,5498.08
PNS,MCO,3378.55
PNS,TPA,8705.41
RSW,EYW,7411.31
RSW,MCO,5978.28
TCB,FLL,6074.48
TLH,TPA,2943.4
TPA,EYW,383.63
TPA,FLL,7821.61
TPA,GNV,7235.47
TPA,JAX,9789.52
TPA,PBI,7219.09
TPA,PNS,6938.17
TPA,TLH,7298.13
TUP,GLH,1151.45
AMS,TNG,4089.25
BCN,CMN,8884.7
BCN,NDR,3355.22
BCN,TNG,4585.63
BGY,CMN,1893.06
BLQ,CMN,9038.01
BRU,CMN,8292.89
BRU,NDR,8062.55
BRU,TNG,1318.52
CMN,BCN,1112.68
CMN,BGY,9525.59
CMN,BLQ,9000.92
CMN,BRU,1840.1
CMN,CUF,119.67
CMN,LGW,3431.49
CMN,LYS,5084.79
CMN,MPL,1888.8
CMN,SAW,2982.74
CMN,TLS,3499.22
CMN,VCE,2527.59
CUF,CMN,3298.81
LGW,CMN,8314.69
LYS,CMN,3984.36
MPL,CMN,8565.68
MPL,NDR,8293.99
NDR,AMS,3215.78
NDR,BCN,8247.05
NDR,BRU,5053.41
NDR,MPL,745.48
NDR,PMI,7008.68
SAW,CMN,9338.87
TLS,CMN,7539.51
TNG,AMS,9445.42
TNG,BCN,1813.81
TNG,BRU,3130.58
VCE,CMN,9914.44
AUA,BON,7106.47
AUA,CCS,8759.24
AUA,CUR,1543.85
AUA,FLL,5435.5
AUA,LSP,4911.85
AUA,MAR,9820.92
AUA,RCH,723.3
BON,AUA,8189.93
BON,CUR,37.21
CCS,AUA,2296.43
CUR,AUA,9270.85
CUR,BON,5973.47
FLL,AUA,1978.24
LSP,AUA,68.57
MAR,AUA,161.24
RCH,AUA,5925.93
BHK,DME,5229.69
DME,BHK,7711.63
DME,FEG,8198.79
DME,KSQ,3882.44
DME,NMA,7017.08
DME,NVI,5711.51
DME,SKD,4103.3
DME,STW,7886.98
DME,TIV,6613.54
FEG,DME,3225.7
KSQ,DME,1218.58
NMA,DME,2822.86
NVI,DME,4330.37
SKD,DME,7002.7
STW,DME,7900.41
TIV,DME,6296.42
ANU,PTP,5529.53
CAY,FDF,8475.54
FDF,CAY,9848.3
FDF,PTP,994.18
FDF,SDQ,277.98
FDF,SLU,6455.63
PTP,ANU,274.76
PTP,FDF,2633.42
PTP,SBH,8478.05
PTP,SDQ,328.93
PTP,SFG,4444.33
SBH,PTP,1002.43
SDQ,FDF,7942.31
SDQ,PTP,6860.18
SFG,PTP,3339.45
SLU,FDF,2041.75
BHY,XIY,3016.89
CAN,CKG,2720.7
CAN,CTU,2527.79
CAN,SPN,6094.83
CGK,NNG,8710.26
CGO,CGQ,3751.76
CGO,CKG,7123.74
CGO,CTU,6261.56
CGO,HET,7586.68
CGO,HGH,9932.44
CGO,HRB,5827.39
CGO,KMG,7500.54
CGO,URC,7527.45
CGQ,CGO,517.1
CGQ,NKG,5334.64
CGQ,TNA,943.18
CGQ,TSN,9690.35
CJJ,DYG,7585.29
CKG,CAN,6092.05
CKG,CGO,6150.83
CKG,CSX,2000.05
CKG,CZX,2120.04
CKG,DLC,8778.18
CKG,DYG,8441.52
CKG,HAK,6453
CKG,HGH,5354.13
CKG,HKT,5215.06
CKG,INC,3392.35
CKG,JHG,9968.58
CKG,JZH,4573.95
CKG,KHN,3312.8
CKG,KMG,5822.5
CKG,LHW,2513.2
CKG,LJG,3754.29
CKG,LXA,2886.82
CKG,NGB,1374.8
CKG,NKG,6004.21
CKG,NNG,7517.99
CKG,PEK,9650.32
CKG,PVG,6938.39
CKG,PZI,1652.61
CKG,SWA,1534.47
CKG,SYX,143.03
CKG,SZX,1825.65
CKG,TNA,1371.05
CKG,TSA,8947.18
CKG,TSN,6546.67
CKG,TYN,9379.67
CKG,URC,9122.34
CKG,WUH,2050.9
CKG,XIY,5844.21
CKG,XMN,6414.13
CKG,XNN,9889.2
CKG,YIH,3897.35
CKG,ZHA,511.7
CSX,CKG,6591.04
CSX,CTU,4175.64
CSX,FOC,8829.47
CSX,KMG,5289.84
CSX,SHE,6525.25
CSX,WNZ,7530.58
CSX,XMN,5549.85
CTU,CAN,2437.23
CTU,CGO,55.8
CTU,CSX,3345.47
CTU,DSN,6864.6
CTU,HAK,279.22
CTU,HDG,6496.15
CTU,HET,2956.61
CTU,HFE,5648
CTU,HGH,7759.66
CTU,HKG,9794.33
CTU,HKT,8907.93
CTU,ICN,1116.53
CTU,INC,2896.08
CTU,JHG,6247.42
CTU,JIQ,312.71
CTU,JZH,9194.5
CTU,KHN,3846.37
CTU,KMG,828.45
CTU,KOW,9966.52
CTU,KWE,939.22
CTU,KWL,9683.69
CTU,LHW,3415.79
CTU,LJG,8407.38
CTU,LUM,6575.29
CTU,LXA,6707.84
CTU,MEL,5757.23
CTU,MLE,9844.45
CTU,NKG,5442.73
CTU,NNG,9506.86
CTU,PEK,750.54
CTU,PVG,6232.2
CTU,PZI,9424.18
CTU,SHE,5136.08
CTU,SJW,3.65
CTU,SYX,5996.71
CTU,SZX,6722.58
CTU,TAO,2887.65
CTU,TNA,6880.85
CTU,TSA,1161.28
CTU,TSN,2095.02
CTU,TYN,7261.78
CTU,URC,1098.92
CTU,WNZ,3384.36
CTU,WUH,410.52
CTU,WUX,616.4
CTU,WXN,460.43
CTU,XIC,1691.71
CTU,XIY,1285.39
CTU,XMN,260.35
CTU,XNN,6732.1
CTU,XUZ,7436.28
CTU,YIH,5771.39
CTU,YTY,7729.62
CZX,CKG,518.6
CZX,HRB,845.14
CZX,XMN,995.12
CZX,ZUH,5879.98
DLC,CKG,351.68
DLC,HGH,3831
DLC,HRB,3916.19
DLC,TNA,9198.13
DLC,XUZ,3126.32
DNH,LHW,1618.76
DSN,CTU,7936.37
DSN,SHE,9056.06
DYG,CJJ,4776.86
DYG,CKG,6793.03
FOC,CSX,169.64
GXH,LHW,7656.44
HAK,CKG,7988.41
HAK,CTU,4814.89
HAK,HGH,8908.08
HAK,NGB,6075.6
HAK,ZUH,9397.75
HDG,CTU,4408.75
HET,CGO,9101.04
HET,CTU,8073.78
HFE,CTU,2418.25
HGH,CGO,7029.31
HGH,CKG,4125.76
HGH,CTU,540.33
HGH,DLC,280.56
HGH,HAK,1408.21
HGH,TSN,1512.56
HGH,TYN,3848.09
HKG,CTU,3747.63
HKG,YIH,4089.07
HKG,ZHA,37.58
HKT,CKG,9485.46
HKT,CTU,8008.92
HRB,CGO,3471.23
HRB,CZX,4966.92
HRB,DLC,4260.36
HRB,INC,4844.63
HRB,NGB,6147.63
HRB,NKG,2491.17
HRB,TNA,5094.16
HRB,TYN,4284.13
HRB,WNZ,6194.67
HRB,WUH,8490.96
HRB,XIY,1008.26
HRB,XUZ,316.56
ICN,CTU,3725.69
INC,CKG,426.47
INC,CTU,7224.33
INC,HRB,8019.19
INC,KMG,4709.56
INC,KWL,8108.89
JGN,LHW,5937.34
JHG,CKG,9584.11
JHG,CTU,9406.62
JHG,KMG,8215.94
JIQ,CTU,4949.45
JJN,KWE,782.86
JJN,WUH,1289.26
JZH,CKG,581.56
JZH,CTU,652.72
KHG,URC,6993.93
KHN,CKG,3280.46
KHN,CTU,8372.89
KHN,KMG,4156.16
KHN,NGB,310.8
KMG,CGO,1313.4
KMG,CKG,468.21
KMG,CSX,9174.59
KMG,CTU,1103
KMG,INC,8423.67
KMG,JHG,2009.3
KMG,KHN,6981.6
KMG,KWE,5669.05
KMG,LUM,8220.94
KMG,NGB,4827.22
KMG,NKG,4723.76
KMG,TAO,7849.1
KMG,TNA,2683.77
KMG,TPE,5138.73
KMG,WXN,399.29
KMG,XIY,8969.12
KMG,XMN,1148.67
KMG,XUZ,9785.84
KOW,CTU,44.95
KOW,XMN,4561.54
KWE,CTU,5487.63
KWE,JJN,7510.68
KWE,KMG,994.9
KWE,LHW,2681.49
KWE,SYX,9876.4
KWE,WNZ,6787.41
KWE,XUZ,8032.62
KWL,CTU,2677.52
KWL,INC,1695.98
KWL,SYX,9916.72
LHW,CKG,3778.88
LHW,CTU,6600.4
LHW,DNH,5582.16
LHW,GXH,5211.5
LHW,JGN,142.84
LHW,KWE,6771.01
LHW,XIY,9976.33
LJG,CKG,9619.05
LJG,CTU,3975.81
LJG,MIG,5244.94
LJG,XIY,5938.14
LUM,CTU,6794.17
LUM,KMG,9789.03
LXA,CKG,6627.15
LXA,CTU,6878.53
LXA,XNN,4197.01
LYI,XIY,8152.91
MEL,CTU,2290.02
MIG,LJG,3686.26
MIG,NKG,7185.04
MIG,SYX,6577.92
MIG,XNN,7967.55
MLE,CTU,469.1
NGB,CKG,2697.04
NGB,HAK,4339.92
NGB,HRB,9903.62
NGB,KHN,4572.29
NGB,KMG,4985.45
NGB,SHE,9129.85
NGB,SYX,7220.01
NKG,CGQ,6942.35
NKG,CKG,6515.72
NKG,CTU,3167.37
NKG,HRB,857.16
NKG,KMG,603.74
NKG,MIG,6599.12
NKG,SYX,6550.23
NNG,CGK,4414.94
NNG,CKG,3342.5
NNG,CTU,2904.1
NNG,SGN,1138.47
NNG,WUH,4694.44
NTG,WUH,5944.94
PEK,CKG,1424.42
PEK,CTU,3276.38
PEK,WXN,4777.17
PEK,ZHY,8911.33
PVG,CKG,6402.14
PVG,CTU,5282
PVG,SPN,6838.34
PZI,CKG,2099.28
PZI,CTU,9634.54
SGN,NNG,1202.04
SHE,CSX,4024.74
SHE,CTU,3510.18
SHE,DSN,5415.78
SHE,NGB,437.27
SHE,TYN,8398.19
SHE,XUZ,8352.46
SHE,YVR,4827.91
SJW,CTU,5832.76
SPN,CAN,2027.02
SPN,PVG,7636.12
SWA,CKG,9908.6
SYX,CKG,3357.39
SYX,CTU,2967.08
SYX,KWE,5796.77
SYX,KWL,1813.18
SYX,MIG,2626.63
SYX,NGB,572.56
SYX,NKG,5550.27
SYX,TNA,9313.12
SYX,TYN,9602.47
SYX,WNZ,46.04
SYX,YBP,8038.32
SZX,CKG,1040.18
SZX,CTU,1399.16
SZX,WXN,3937.47
TAO,CTU,9300.84
TAO,KMG,7884.53
TNA,CGQ,5545.5
TNA,CKG,6611.79
TNA,CTU,7665.78
TNA,DLC,3919.15
TNA,HRB,4161.95
TNA,KMG,2572.19
TNA,SYX,2937.87
TNA,XIY,8004.31
TPE,KMG,4793.06
TSA,CKG,7263.36
TSA,CTU,8970.36
TSN,CGQ,5488.07
TSN,CKG,1790.35
TSN,CTU,2881.05
TSN,HGH,4746.87
TYN,CKG,1293.2
TYN,CTU,6180.48
TYN,HGH,5966.01
TYN,HRB,2486.03
TYN,SHE,1963.65
TYN,SYX,9185
URC,CGO,8523.4
URC,CKG,5822.65
URC,CTU,4202.89
URC,KHG,9657.64
URC,XIY,1713.5
UYN,XIY,1920.05
WNZ,CSX,8478.49
WNZ,CTU,8291.15
WNZ,HRB,4935.69
WNZ,KWE,767.79
WNZ,SYX,9789.01
WUH,CKG,1258.42
WUH,CTU,7023.05
WUH,HRB,4072.88
WUH,JJN,6198.15
WUH,NNG,9368.55
WUH,NTG,2375.7
WUX,CTU,7172.6
WXN,CTU,8191.41
WXN,KMG,8771.9
WXN,PEK,6585.04
WXN,SZX,2843.6
XIC,CTU,3733.16
XIY,BHY,5415.76
XIY,CKG,6187.66
XIY,CTU,3445.47
XIY,HRB,4940.18
XIY,KMG,4035.28
XIY,LHW,6220.56
XIY,LJG,2223.84
XIY,LYI,9380.84
XIY,TNA,972.86
XIY,URC,2440.8
XIY,UYN,3722.83
XIY,XMN,1159.93
XIY,XNN,5292.15
XIY,YBP,6513.38
XIY,ZHY,1991.22
XMN,CKG,3021.8
XMN,CSX,7554.73
XMN,CTU,6410.79
XMN,CZX,6345.69
XMN,KMG,666.07
XMN,KOW,7813.28
XMN,XIY,6990.51
XNN,CKG,4269.21
XNN,CTU,6985.62
XNN,LXA,5711.48
XNN,MIG,6736.46
XNN,XIY,9193.65
XUZ,CTU,9352.2
XUZ,DLC,7851.99
XUZ,HRB,9142.11
XUZ,KMG,837.34
XUZ,KWE,7406.92
XUZ,SHE,4870.41
YBP,SYX,7847.69
YBP,XIY,9302.94
YIH,CKG,5584.82
YIH,CTU,2596.95
YIH,HKG,6135.97
YTY,CTU,2950.02
YVR,SHE,5585.92
ZHA,CKG,4680.96
ZHA,HKG,8759.79
ZHY,PEK,2086
ZHY,XIY,4966.86
ZUH,CZX,6453.69
ZUH,HAK,2587.29
LAS,LAX,5460.64
LAX,LAS,7241.75
CAI,TLV,7966.22
TLV,CAI,8466.99
MCG,NIB,5508.51
MCG,TCT,418.68
NIB,MCG,454.26
TCT,TLJ,1585.91
TLJ,MCG,3455.85
EGO,NUX,8757.95
EYK,VKO,177.57
GDZ,OVS,4994
LED,VKO,5896.09
NCU,VKO,6299.18
NUX,EGO,7376.96
NUX,TJM,6215.24
NUX,UFA,533.63
NUX,VKO,7677.36
NYM,OVS,5554.21
NYM,VKO,9949.11
OVS,NYM,6850.89
OVS,SVX,7790.39
OVS,VKO,1047.39
SVX,OVS,6963.52
TJM,NUX,9946.81
UCT,VKO,4068.93
UFA,NUX,2608.71
UFA,VKO,5343.82
VKO,EYK,9058.15
VKO,GDZ,6949.64
VKO,LED,5667.34
VKO,NCU,4835.7
VKO,NUX,9040.25
VKO,NYM,5618.97
VKO,OVS,2993.94
VKO,UCT,1232.74
BKK,DAC,3668.95
CCU,CGP,1843.45
CCU,DAC,832.94
CGP,CCU,6981.48
CGP,DAC,8289.76
CGP,MCT,9044.98
CXB,DAC,9676.94
DAC,BKK,1649.26
DAC,CCU,2117.09
DAC,CGP,3741.13
DAC,CXB,56.72
DAC,DXB,7529.35
DAC,JED,1021.45
DAC,JSR,7462.15
DAC,KTM,6383.25
DAC,KUL,6673.91
DAC,MCT,9017.21
DAC,RJH,8382.31
DAC,SPD,9613.73
DAC,ZYL,7490.53
DXB,DAC,2850.7
JED,DAC,9754.23
JSR,DAC,2084.08
KTM,DAC,6308.25
KUL,DAC,3251.33
MCT,CGP,3564.74
MCT,DAC,3167.94
RJH,DAC,3208.53
SPD,DAC,1506.28
ZYL,DAC,7474.55
YGZ,YRB,1052.17
YRB,YGZ,4387.65
DFW,EZE,5643.23
EZE,DFW,8544.8
EZE,JFK,9586.23
EZE,MIA,8670.69
EZE,PUJ,9696
JFK,EZE,4489.28
MIA,EZE,9332.7
MIA,PUJ,2097.25
PUJ,EZE,6856.84
PUJ,MIA,8903.4
YLW,YVR,5102.85
YLW,YXY,9563.23
YVR,YLW,4515.88
YVR,YXY,1213.16
YXY,YVR,7933.59
ACA,MEX,632
ACA,TLC,5198.25
AGU,MEX,336.34
BOG,MEX,2420
CEN,MEX,946.6
CJS,MEX,5967.86
CME,MEX,4892.78
CPE,MEX,7419.08
CTM,MEX,37.7
CUL,MEX,2248.39
CUN,MEX,638.31
CUN,MTY,4202.99
CUN,TLC,8815.66
CUU,MEX,2878.9
CZM,MEX,4699.22
GDL,MEX,3503.78
GDL,MTY,3954.01
GDL,SJD,1067.45
GDL,SNA,7648.76
GDL,TIJ,6304.85
GUA,MEX,1348.85
HAV,MEX,2033.29
HMO,MEX,4945.05
HUX,MEX,7147.04
JFK,MEX,5907.8
LAP,MEX,6835.46
LAS,MTY,1516.87
LAS,TLC,6882.5
MEX,ACA,7358.37
MEX,AGU,3874.97
