"a" "b" "value"
194 8 15.32811737 
195 6 0.654991862 
195 19 0.678192497 
196 11 2.747352049 
196 14 5.754650563 
198 5 2.661261252 
198 9 2.916211166 
64 1 16.868693346 
88 0 31.82832211 
20 2 15.901576749 
56 2 20.588738729 
0 8 11.967721183 
20 6 19.633183569 
20 7 27.96572392 
88 8 14.040950531 
0 14 14.809161516 
20 12 21.26528295 
0 17 26.32778339 
60 6 11.402623311 
20 15 6.230466929 
20 17 23.48542575 
40 14 6.773944422 
20 19 24.39431433 
40 17 18.292566296 
80 13 27.978243367 
100 11 10.716189584 
84 11 30.52162715 
100 13 16.348513839 
80 19 18.72015203 
9 0 32.75277938 
66 3 7.838842194 
52 6 22.544188303 
9 8 14.965407801 
29 6 12.987684734 
66 12 23.84872401 
29 9 23.048781003 
29 10 27.84002526 
29 11 16.783507641 
49 9 18.467282847 
49 11 9.300279015 
49 13 14.93260327 
29 19 19.489388721 
48 0 19.880377525 
89 11 17.367952878 
77 1 29.85496508 
48 8 2.093005946 
89 17 15.546873475 
77 7 32.4383565 
89 19 20.073833958 
77 9 20.017682173 
18 2 14.628227312 
18 8 4.876043121 
58 1 24.590437169 
58 3 22.361139975 
18 12 19.991933513 
38 9 28.537962503 
18 14 7.717483454 
78 4 38.95959029 
18 17 19.236105328 
98 4 39.17155573 
58 13 15.184262098 
78 10 33.08769251 
38 19 34.14457924 
98 10 21.593893336 
98 13 14.468599039 
78 19 33.90306499 
60 10 13.311289011 
7 6 10.191616434 
7 10 12.100282134 
38 10 33.32920676 
67 1 30.42548068 
45 6 9.813037264 
47 11 25.26583542 
27 17 18.936838187 
67 10 20.714847012 
87 7 29.38766753 
67 12 19.118990582 
67 17 21.339133382 
67 19 22.248021962 
97 5 20.771217222 
97 6 23.780917952 
64 13 22.880594436 
38 4 39.20110454 
16 2 13.7350968 
16 3 24.708494195 
56 0 29.17309683 
16 10 20.165962626 
16 12 19.098803001 
34 15 1.472990113 
16 15 4.85438029 
16 17 21.318945801 
56 10 21.391411369 
16 19 22.227834381 
36 18 14.528644269 
84 1 16.381771195 
56 17 28.17258773 
56 19 29.08147631 
26 9 13.831871655 
31 3 9.406146023 
5 1 12.802979164 
5 2 14.297275862 
25 0 31.41387229 
5 7 26.361423033 
45 1 13.917675861 
5 12 19.660982063 
25 10 21.586417513 
5 17 21.881124863 
45 10 11.721702964 
5 19 22.790013443 
65 11 16.587755164 
81 0 23.994311869 
45 18 21.026374969 
85 11 27.49457223 
85 13 33.98064601 
65 19 19.625562399 
85 19 24.722554673 
14 2 34.38759951 
40 8 3.932504089 
20 10 21.541849269 
86 3 7.240557144 
14 13 32.09146857 
34 10 16.784572449 
14 17 22.252925613 
54 13 9.205809484 
94 6 13.454994727 
79 3 9.524204205 
54 19 17.661514292 
79 6 7.83469065 
94 16 6.554908388 
94 17 23.68242679 
78 9 28.296448253 
87 5 16.011613506 
25 15 6.274835177 
90 6 19.857779052 
3 14 16.293629509 
3 16 4.809840447 
23 13 34.4377093 
3 19 13.926880242 
43 14 16.104018706 
43 17 18.95323126 
47 13 25.805987551 
24 6 10.255200106 
63 19 22.183218811 
24 11 13.304176167 
99 6 4.105962468 
58 5 13.797774565 
46 9 13.851549673 
100 9 19.883193416 
32 1 23.61247081 
86 1 24.98935566 
12 14 24.89697309 
58 11 9.551937843 
12 16 13.413184028 
32 13 29.6243719 
92 6 11.669326716 
52 16 15.644101964 
92 10 13.577992416 
72 18 12.684638513 
71 3 25.382545815 
63 11 19.477337731 
1 5 6.784441 
1 7 20.160495024 
41 1 29.16063388 
21 6 10.505032159 
21 8 10.72441234 
1 13 10.921444895 
1 14 22.777495213 
21 14 13.565852673 
21 16 3.60494582 
75 1 23.112227362 
81 9 9.265287748 
81 10 14.056532005 
75 5 12.319564758 
75 7 25.695618782 
81 19 14.871904485 
61 6 14.371845968 
57 1 18.717173953 
57 3 22.571216515 
10 2 23.673737149 
57 5 7.924511349 
30 1 15.636278898 
10 7 35.73788432 
30 5 4.843616294 
30 7 18.219670318 
10 12 29.03744335 
55 8 9.440302364 
10 17 31.25758615 
70 6 3.191442127 
90 4 31.23801428 
87 6 19.563660476 
55 14 19.955545055 
90 9 20.574872243 
90 10 25.3661165 
87 13 20.148617401 
70 17 15.842980393 
70 18 13.875837089 
28 4 31.47879146 
68 2 14.622417101 
28 13 16.920300853 
93 19 21.037185773 
39 1 16.527681705 
39 5 5.735019101 
59 2 23.371489077 
39 7 19.111073125 
79 0 24.685489964 
59 5 20.530040887 
59 6 23.539741617 
59 7 34.48064041 
39 13 9.872022996 
59 13 25.241590281 
79 11 22.866295874 
59 17 29.47369071 
99 11 19.137567692 
79 17 29.86834456 
44 2 19.480864769 
44 3 21.976701555 
44 10 26.4404274 
68 7 26.686564272 
56 6 12.322297516 
44 17 14.116503986 
8 3 21.479869515 
28 1 23.575959562 
28 3 11.680001597 
28 5 12.783296958 
28 9 20.815649423 
8 14 14.765573486 
8 16 3.281784424 
68 10 21.581979732 
68 12 19.986123302 
48 18 13.344473959 
48 19 20.633257813 
68 17 22.206266102 
68 19 23.115154682 
43 8 13.262578373 
54 9 12.740489061 
54 11 3.573485229 
41 13 35.17253497 
37 0 37.53735688 
17 6 3.268182497 
17 7 16.084491601 
37 4 26.060148035 
17 11 18.299787721 
37 8 19.749985301 
37 10 20.188250255 
77 4 30.68082421 
77 5 19.062302476 
97 2 23.612665412 
57 13 12.061515244 
77 10 24.80892643 
37 19 21.003622735 
77 13 23.199306371 
77 19 25.62429891 
94 3 12.489486516 
6 1 16.743326788 
6 4 32.98068998 
6 5 5.950664184 
6 7 19.326718208 
94 11 17.189357188 
6 9 22.317547943 
46 4 24.51469171 
6 13 10.087668079 
66 2 18.485017809 
26 11 4.664867823 
26 13 10.297192078 
46 10 18.64279393 
46 16 6.317713376 
46 19 19.45816641 
66 16 7.570014818 
66 17 20.618925625 
65 6 1.55614994 
65 7 14.372459044 
69 6 17.98177053 
15 2 23.558592869 
15 6 21.633126213 
55 0 27.227673943 
15 10 30.5181555 
15 12 28.92229907 
15 16 14.733039874 
15 17 31.14244187 
15 19 32.05133045 
35 18 7.580702743 
55 16 8.471755993 
75 13 16.456568653 
99 0 20.956761782 
95 18 5.389088851 
37 9 15.397005998 
99 7 16.922271572 
29 4 33.71192304 
70 10 5.100107827 
25 3 25.072316195 
25 6 14.563072976 
51 10 19.771865467 
24 1 22.16557953 
25 13 14.461123216 
24 5 11.372916926 
4 10 27.82439184 
24 7 23.07150921 
4 13 20.699097543 
4 15 12.512809504 
4 16 16.618794128 
24 13 15.509920821 
4 18 17.470629659 
44 12 24.84457097 
24 19 16.010057247 
44 19 27.97360235 
86 13 18.333696951 
84 13 22.393672285 
30 13 8.980620189 
84 19 33.22750823 
98 9 28.508413693 
98 15 6.282311 
13 3 24.653194875 
33 3 22.453329705 
51 13 10.132874079 
13 18 8.227359788 
93 5 10.303351618 
81 4 19.928429785 
93 7 23.679405642 
53 17 23.55540065 
81 8 6.20694029 
93 11 10.508649174 
93 13 14.440355513 
93 17 19.289137679 
22 5 29.53434158 
34 13 9.659278152 
51 1 16.788532788 
22 2 32.37578977 
51 4 25.643763247 
2 9 15.535566239 
22 6 32.54404231 
2 11 6.368562407 
2 13 12.000886662 
35 6 11.772224748 
22 13 32.03495227 
42 10 23.261883899 
86 5 14.196693056 
22 19 22.776860933 
82 8 5.2706252 
42 18 4.001442201 
62 16 20.178810338 
82 14 8.112065533 
101 6 19.588415569 
82 17 19.630687407 
67 2 13.755284381 
67 7 25.819431552 
11 0 19.660152523 
91 6 21.73690401 
11 4 23.865910036 
11 6 2.809353209 
11 7 15.625662313 
11 9 13.202767999 
11 10 17.994012256 
31 8 20.454523823 
51 5 5.995870184 
51 7 19.371924208 
51 8 9.970392187 
31 14 22.391911232 
11 19 18.809384736 
31 16 10.90812217 
31 18 18.900805489 
31 19 21.505703563 
59 1 31.89724899 
51 17 16.243442155 
51 19 20.587237947 
62 14 31.6625994 
101 16 17.066016134 
101 18 19.202512509 
101 10 20.179931298 
101 4 26.051829078 
101 9 15.388687041 
101 19 20.995303778 
102 1 25.53979091 
102 5 14.747128306 
102 7 28.12318233 
102 13 18.884132201 
104 0 19.908651831 
104 8 2.121280252 
105 10 28.81698119 
105 14 23.35568525 
105 16 11.871896188 
105 1 25.52076141 
106 0 30.907347 
106 6 14.056547686 
106 7 26.87285679 
106 11 29.08815291 
107 11 29.25831728 
107 19 31.96419836 
107 6 17.585642408 
107 16 10.685556069 
109 3 22.353239235 
109 17 14.475497883 
109 1 17.700455594 
109 13 23.712356684 
110 3 12.246406213 
110 0 22.207198961 
110 6 5.356399647 
110 11 20.388004871 
110 17 22.007530037 
112 19 17.104828412 
112 2 10.179913792 
112 7 22.244060963 
112 12 15.543619993 
112 17 17.763762793 
112 9 23.9506378 
112 11 14.783633968 
113 16 19.932451314 
113 10 32.30298457 
113 13 25.177690273 
113 15 16.991402234 
113 0 37.9900694 
113 8 20.202697821 
114 18 10.730633127 
115 6 14.334764198 
115 16 7.434677859 
115 10 21.093960699 
116 4 34.8175215 
116 9 24.154379463 
116 10 28.94562372 
116 0 24.859393046 
116 8 7.072021467 
118 6 12.933274873 
118 16 6.033188534 
118 13 13.866781111 
118 15 5.680493072 
118 19 22.463871973 
119 9 20.076119908 
119 11 10.909116076 
119 13 16.541440331 
120 0 34.28009459 
120 6 17.429295276 
120 7 30.24560438 
120 11 32.4609005 
120 1 29.97002032 
120 5 19.177357716 
120 13 23.314361611 
121 19 26.184192443 
121 2 25.396114939 
121 7 37.46026211 
121 12 30.75982114 
121 17 32.97996394 
122 5 4.604796798 
122 1 15.397459402 
122 13 8.741800693 
122 0 20.423657954 
122 8 2.636286375 
123 0 38.07033089 
123 6 21.219531576 
123 7 34.03584068 
123 11 36.2511368 
123 4 23.036746811 
123 9 12.373604774 
123 10 17.164849031 
123 19 17.980221511 
124 11 15.333116383 
124 19 18.038997463 
124 6 17.590768686 
124 7 30.40707779 
126 1 15.700035169 
126 13 21.711936259 
126 0 28.532028993 
126 8 10.744657414 
127 11 11.88403049 
127 19 14.58991157 
127 2 19.470349784 
127 5 16.628901594 
127 10 28.26520331 
127 12 26.66934688 
128 4 29.577892028 
128 9 17.84995977 
128 10 23.705994248 
128 19 24.521366728 
128 11 8.682955938 
128 13 14.315280193 
130 6 19.566087937 
130 1 27.95713676 
130 5 17.164474156 
130 7 30.54052818 
130 13 21.301478051 
131 16 8.339224019 
131 4 29.72184914 
131 9 19.058707103 
131 10 23.84995136 
131 19 24.66532384 
132 2 34.39704665 
132 5 31.55559846 
132 6 34.56529919 
133 16 5.785284795 
133 10 6.991228384 
133 4 27.579869503 
133 0 24.172697377 
133 8 6.385325798 
134 19 9.249933775 
134 13 8.846789306 
134 1 15.502448015 
134 5 4.709785411 
134 7 18.085839435 
135 2 8.051558311 
135 14 14.973100508 
135 16 3.489311446 
135 7 20.115705482 
135 10 15.011120942 
135 12 13.415264512 
135 17 15.635407312 
135 19 16.544295892 
136 16 12.566930298 
136 10 14.903235507 
136 15 9.826340029 
136 2 7.943672876 
136 7 20.007820047 
136 12 13.307379077 
136 17 15.527521877 
136 19 16.436410457 
137 6 7.137845414 
137 10 9.046511114 
137 11 22.047526588 
138 6 10.210558291 
138 16 3.310471952 
138 11 20.500309328 
139 2 15.630977151 
139 5 6.616647274 
139 6 15.799229691 
139 3 19.593584915 
139 9 20.701065333 
139 1 17.409309878 
139 13 10.753651169 
139 8 16.241828741 
140 6 11.366389468 
140 16 4.466303129 
140 0 35.44258144 
141 6 16.632137806 
141 0 39.32203504 
141 8 21.534663461 
142 11 20.365480295 
142 19 23.071361375 
142 8 11.936554221 
143 6 14.624306486 
143 4 20.410093299 
143 9 9.746951262 
143 10 14.538195519 
143 19 15.353567999 
145 0 25.511531641 
145 6 8.660732327 
145 7 21.477041431 
145 11 23.692337551 
146 8 2.205100727 
146 14 5.04654106 
146 17 16.565162934 
147 11 11.590047645 
147 19 14.295928725 
147 2 22.183434694 
147 5 19.341986504 
147 3 14.512305721 
148 19 30.70019763 
148 18 22.030217699 
149 2 8.230516106 
149 7 20.294663277 
149 10 15.190078737 
149 17 15.814365107 
149 19 16.723253687 
150 10 20.491233689 
150 14 14.015425969 
150 16 5.886400735 
150 0 23.470292449 
150 7 19.435802239 
150 17 25.534047843 
151 14 13.854396835 
151 16 2.370607773 
152 14 19.814577284 
152 16 8.330788222 
152 19 25.420152533 
153 11 17.581720809 
153 6 2.550115585 
153 7 15.366424689 
154 3 19.934182035 
154 0 37.87858415 
154 6 21.027784836 
154 1 27.0677452 
154 5 16.275082596 
154 13 20.412086491 
155 6 10.323537188 
155 16 11.222618311 
155 10 12.232202888 
156 1 12.17084752 
156 13 14.04825325 
156 5 9.911249355 
156 7 23.287303379 
157 14 24.96150409 
157 16 13.477715028 
159 9 31.3534347 
159 11 22.186430868 
159 13 27.818755123 
160 6 26.06617088 
160 1 32.63527438 
160 5 21.842611776 
160 7 35.2186658 
160 13 25.979615671 
161 10 12.859265992 
161 0 21.329430176 
161 8 3.542058597 
162 6 21.88105123 
162 2 23.594043989 
162 7 35.65819116 
162 10 30.55360662 
162 17 31.17789299 
162 19 32.08678157 
164 6 6.744522064 
164 10 8.653187764 
165 6 15.844402485 
165 16 8.944316146 
167 8 4.739091419 
167 14 7.580531752 
167 17 19.099153626 
167 1 21.474635155 
168 8 16.032688633 
168 14 18.874128966 
168 17 30.39275084 
169 6 15.047209061 
169 10 18.438915982 
169 4 24.310813762 
169 9 13.647671725 
169 19 19.254288462 
170 9 22.93656452 
170 11 13.769560688 
170 13 19.401884943 
171 6 3.154540332 
171 3 7.60222526 
171 0 20.005339646 
171 11 18.186145556 
172 18 4.987173756 
172 3 15.432711352 
172 19 18.259379684 
172 4 25.816189342 
172 9 15.153047305 
173 11 22.73169922 
173 19 25.4375803 
173 2 19.853101091 
173 5 17.011652901 
173 3 14.432497757 
173 1 13.680998349 
173 13 19.692899439 
174 14 13.786651778 
174 16 2.302862716 
175 10 18.350603935 
175 13 11.225309638 
175 15 3.039021599 
175 4 33.78309746 
175 9 23.119955423 
176 3 25.228842685 
176 4 31.39576894 
176 9 20.732626903 
176 10 25.52387116 
177 6 10.455017615 
177 10 12.363683315 
177 4 20.456184761 
177 9 9.793042724 
177 19 15.399659461 
177 0 30.56955613 
177 8 12.782184551 
178 11 12.990457292 
178 19 15.696338372 
179 0 36.03381921 
179 6 19.183019896 
179 7 27.55687342 
179 1 24.973482 
179 5 14.180819396 
179 13 18.317823291 
180 16 21.508673454 
180 18 19.053585389 
182 13 26.790727572 
182 19 28.469204393 
182 1 20.778826482 
184 1 17.986376578 
184 5 7.193713974 
184 7 20.569767998 
184 13 11.330717869 
185 0 36.02130527 
185 6 19.170505956 
185 7 31.98681506 
185 11 34.20211118 
186 17 17.354497234 
187 11 18.92711977 
187 19 21.63300085 
187 14 15.849294194 
187 16 4.365505132 
188 13 22.716626504 
188 19 24.469815683 
188 1 16.704725414 
189 5 12.180430766 
189 17 23.26108428 
189 1 22.97309337 
189 7 25.55648479 
189 13 16.317434661 
190 18 3.510687122 
191 6 4.613473798 
191 10 6.522139498 
192 16 12.147005646 
192 10 16.759466646 
192 15 3.161878372 
192 2 9.799904015 
192 7 21.864051186 
192 12 15.163610216 
192 17 17.383753016 
192 19 18.292641596 
193 18 10.580614737 
193 8 7.169644928 
193 14 10.011085261 
193 17 21.529707135 
194 14 25.67645142 
194 16 14.192662358 
194 0 33.68077961 
194 7 29.6462894 
194 11 31.86158552 
195 14 13.918702422 
195 16 2.43491336 
196 8 4.054842332 
196 17 18.414904539 
196 4 25.471629983 
196 9 14.808487946 
196 10 19.599732203 
196 19 20.415104683 
198 10 18.656481192 
198 13 11.531186895 
198 15 3.344898856 
198 17 16.115299396 
0 4 34.526140936 
0 6 13.469584109 
0 7 26.285893213 
0 9 23.862998899 
0 10 28.654243156 
40 4 26.490923842 
40 6 5.434367015 
40 7 18.250676119 
40 9 15.827781805 
40 10 20.619026062 
80 7 45.469740757 
40 19 21.434398542 
80 12 38.769299787 
80 17 40.989442587 
65 3 21.534156529 
29 8 18.090997924 
77 2 28.62665659 
29 16 14.767606232 
29 17 32.451060131 
69 14 31.24548109 
69 16 19.761692028 
97 13 29.641142865 
109 12 34.503413104 
97 16 25.56083945 
18 0 23.228705361 
18 4 27.434462874 
18 6 6.377906047 
18 7 19.194215151 
18 10 21.562565094 
58 8 10.859428126 
98 1 18.40165256 
18 19 22.377937574 
58 12 25.975318518 
58 14 13.700868459 
58 15 14.481412169 
58 17 25.219490333 
98 12 25.259655459 
98 17 27.479798259 
98 19 28.388686839 
47 2 31.23333777 
7 14 23.455326994 
7 16 11.971537932 
87 3 36.549365015 
7 19 21.088577727 
47 12 36.597043971 
47 14 29.414766036 
47 17 38.817186771 
87 10 32.006833446 
87 14 32.827371036 
87 15 16.69525111 
87 17 33.159816621 
87 19 34.068705201 
36 9 27.264200939 
36 11 18.097197107 
36 13 23.729521362 
88 7 28.359122561 
88 11 30.574418681 
84 2 27.821022504 
84 10 34.780585135 
110 16 7.136321145 
25 1 18.394176737 
25 2 19.888473435 
25 12 25.252179636 
25 14 27.826783536 
25 16 16.342994474 
25 17 27.472322436 
25 19 28.381211016 
65 14 14.8198605 
65 16 3.336071438 
105 13 20.179642769 
70 11 17.444389927 
14 0 41.806616763 
14 8 24.019245184 
14 12 42.88252499 
14 18 37.187609079 
54 12 19.996865904 
94 5 10.725651074 
54 14 7.722415845 
94 8 18.496847471 
54 17 19.241037719 
94 10 17.428071165 
94 13 14.862654969 
94 14 21.338287804 
3 1 19.773245737 
3 4 36.010608929 
3 5 8.980583133 
3 7 22.356637157 
43 0 31.615240613 
3 9 25.347466892 
109 0 34.029189033 
3 13 13.117587028 
43 6 14.764441299 
43 7 27.580750403 
43 10 29.949100346 
106 3 34.034554275 
43 19 30.764472826 
32 2 35.051722119 
32 6 33.126255463 
54 2 14.633159703 
32 10 42.01128475 
32 12 40.41542832 
54 8 4.880975512 
32 16 26.226169124 
32 17 42.63557112 
72 13 21.885515606 
115 7 24.981474569 
112 8 16.091124251 
102 2 24.31148242 
102 3 35.284879815 
62 4 51.37957882 
62 5 24.349553024 
62 7 37.725607048 
62 9 40.716436783 
21 0 29.07707458 
21 4 33.282832093 
21 5 7.775688506 
21 7 21.15174253 
21 9 22.619690056 
109 8 16.241817454 
21 13 11.912692401 
77 3 39.600053985 
61 14 27.635556528 
